Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
40.0,No,Travel_Rarely,1492.0,Research & Development,20.0,4,Technical Degree,1,Male,61,3,3,Healthcare Representative,4,Married,10322,26542,4,No,20,4,4,1,14,6,3,11,10,11,1
50.0,No,Travel_Frequently,1421.0,Research & Development,2.0,3,Medical,4,Female,30,3,4,Manager,1,Married,17856,9490,2,No,22,4,3,1,32,3,3,2,2,2,2
27.0,No,Travel_Frequently,591.0,Research & Development,2.0,3,Medical,4,Male,87,3,1,Research Scientist,4,Single,2580,6297,2,No,13,3,3,0,6,0,2,4,2,1,2
36.0,No,Travel_Rarely,1300.0,Research & Development,17.0,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,No,12,3,4,1,10,2,3,10,0,1,8
36.0,No,Travel_Rarely,1383.0,Research & Development,10.0,3,Life Sciences,4,Male,90,3,3,Healthcare Representative,1,Married,8321,25949,7,Yes,13,3,4,1,15,1,3,12,8,5,7
53.0,No,Travel_Rarely,447.0,Research & Development,2.0,3,Medical,4,Male,39,4,4,Research Director,2,Single,16598,19764,4,No,12,3,2,0,35,2,2,9,8,8,8
42.0,No,Travel_Rarely,1128.0,Research & Development,13.0,3,Medical,2,Male,95,4,2,Healthcare Representative,1,Married,5538,5696,5,No,18,3,3,2,10,2,2,0,0,0,0
37.0,No,Non-Travel,1040.0,Research & Development,2.0,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,No,14,3,4,1,17,2,4,1,0,0,0
43.0,No,Travel_Rarely,589.0,Research & Development,14.0,2,Life Sciences,2,Male,94,3,4,Research Director,1,Married,17159,5200,6,No,24,4,3,1,22,3,3,4,1,1,0
23.0,No,Travel_Rarely,373.0,Research & Development,1.0,2,Life Sciences,4,Male,47,3,1,Research Scientist,3,Married,1223,16901,1,No,22,4,4,1,1,2,3,1,0,0,1
52.0,No,Travel_Rarely,258.0,Research & Development,8.0,4,Other,3,Female,54,3,1,Laboratory Technician,1,Married,2950,17363,9,No,13,3,3,0,12,2,1,5,4,0,4
29.0,No,Travel_Rarely,1010.0,Research & Development,1.0,3,Life Sciences,1,Female,97,3,1,Research Scientist,4,Divorced,3760,5598,1,No,15,3,1,3,3,5,3,3,2,1,2
50.0,No,Travel_Rarely,989.0,Research & Development,7.0,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8
42.0,No,Travel_Rarely,635.0,Sales,1.0,1,Life Sciences,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,No,25,4,3,0,20,3,3,20,16,11,6
34.0,No,Travel_Rarely,628.0,Research & Development,8.0,3,Medical,2,Male,82,4,2,Laboratory Technician,3,Married,4404,10228,2,No,12,3,1,0,6,3,4,4,3,1,2
32.0,No,Travel_Rarely,1401.0,Sales,4.0,2,Life Sciences,3,Female,56,3,1,Sales Representative,2,Married,3931,20990,2,No,11,3,1,1,6,5,3,4,3,1,2
38.0,No,Travel_Rarely,119.0,Sales,7.0,3,Life Sciences,1,Male,76,3,3,Sales Executive,3,Divorced,10609,9647,1,No,12,3,3,2,17,6,2,16,10,5,13
30.0,No,Travel_Rarely,201.0,Research & Development,7.0,3,Technical Degree,4,Female,84,3,1,Research Scientist,1,Divorced,3204,10415,5,No,14,3,4,1,8,3,3,3,2,2,2
56.0,No,Travel_Rarely,802.0,Sales,11.0,5,Marketing,4,Female,89,2,2,Sales Executive,1,Married,5380,20328,4,No,16,3,3,1,6,3,3,0,0,0,0
27.0,No,Travel_Rarely,1469.0,Research & Development,1.0,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,No,11,3,2,1,5,2,3,5,2,0,4
36.0,No,Travel_Rarely,922.0,Research & Development,7.0,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,No,22,4,1,1,7,2,3,1,0,0,0
40.0,No,Travel_Rarely,616.0,Research & Development,2.0,2,Life Sciences,3,Female,99,3,1,Laboratory Technician,1,Married,3377,25605,4,No,17,3,4,1,7,5,2,4,3,0,2
37.0,Yes,Travel_Frequently,504.0,Research & Development,10.0,3,Medical,1,Male,61,3,3,Manufacturing Director,3,Divorced,10048,22573,6,No,11,3,2,2,17,5,3,1,0,0,0
33.0,No,Non-Travel,1313.0,Research & Development,1.0,2,Medical,2,Male,59,2,1,Laboratory Technician,3,Divorced,2008,20439,1,No,12,3,3,3,1,2,2,1,1,0,0
36.0,No,Travel_Rarely,1299.0,Research & Development,27.0,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7
39.0,No,Travel_Frequently,443.0,Research & Development,8.0,1,Life Sciences,3,Female,48,3,1,Laboratory Technician,3,Married,3755,17872,1,No,11,3,1,1,8,3,3,8,3,0,7
36.0,No,Non-Travel,1229.0,Sales,8.0,4,Technical Degree,1,Male,84,3,2,Sales Executive,4,Divorced,5079,25952,4,No,13,3,4,2,12,3,3,7,7,0,7
36.0,No,Travel_Rarely,802.0,Research & Development,1.0,3,Life Sciences,1,Female,62,3,2,Manufacturing Director,3,Married,4898,7505,1,No,12,3,4,2,5,3,3,4,2,1,2
36.0,No,Travel_Rarely,676.0,Research & Development,1.0,3,Other,3,Female,35,3,2,Manufacturing Director,2,Married,5228,23361,1,No,15,3,1,1,10,2,3,9,7,0,5
37.0,No,Travel_Rarely,1305.0,Research & Development,10.0,4,Life Sciences,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Yes,12,3,4,0,18,2,2,1,0,0,1
51.0,No,Travel_Frequently,237.0,Sales,9.0,3,Life Sciences,4,Male,83,3,5,Manager,2,Divorced,19847,19196,4,Yes,24,4,1,1,31,5,2,29,10,11,10
49.0,No,Travel_Rarely,301.0,Research & Development,22.0,4,Other,1,Female,72,3,4,Research Director,2,Married,16413,3498,3,No,16,3,2,2,27,2,3,4,2,1,2
36.0,No,Non-Travel,1225.0,Research & Development,2.0,4,Life Sciences,4,Female,61,3,2,Healthcare Representative,1,Divorced,5093,4761,2,No,11,3,1,1,16,2,4,1,0,0,0
43.0,Yes,Travel_Frequently,807.0,Research & Development,17.0,3,Technical Degree,3,Male,38,2,1,Research Scientist,3,Married,2437,15587,9,Yes,16,3,4,1,6,4,3,1,0,0,0
33.0,No,Travel_Frequently,970.0,Sales,7.0,3,Life Sciences,4,Female,30,3,2,Sales Executive,2,Married,4302,13401,1,No,17,3,3,1,4,3,3,3,2,0,2
36.0,No,Travel_Rarely,775.0,Sales,29.0,2,Medical,1,Male,45,3,2,Sales Executive,3,Divorced,4306,4267,5,No,12,3,1,2,8,5,3,0,0,0,0
46.0,No,Travel_Rarely,566.0,Research & Development,7.0,2,Medical,4,Male,75,3,3,Manufacturing Director,3,Divorced,10845,24208,6,No,13,3,2,1,13,3,3,8,7,0,7
56.0,Yes,Travel_Rarely,1162.0,Research & Development,24.0,2,Life Sciences,1,Male,97,3,1,Laboratory Technician,4,Single,2587,10261,1,No,16,3,4,0,5,3,3,4,2,1,0
32.0,No,Travel_Frequently,689.0,Sales,9.0,2,Medical,4,Male,35,1,2,Sales Executive,4,Divorced,4668,22812,1,No,17,3,4,3,9,2,4,8,7,0,7
30.0,No,Travel_Frequently,160.0,Research & Development,7.0,3,Medical,3,Female,71,3,1,Research Scientist,3,Divorced,2083,22653,1,No,20,4,3,1,1,2,3,1,0,0,0
30.0,Yes,Travel_Rarely,740.0,Sales,1.0,3,Life Sciences,2,Male,64,2,2,Sales Executive,1,Married,9714,5323,1,No,11,3,4,1,10,4,3,10,8,6,7
27.0,No,Travel_Rarely,1055.0,Research & Development,2.0,4,Life Sciences,1,Female,47,3,2,Manufacturing Director,4,Married,4227,4658,1,No,18,3,2,1,4,2,3,3,2,2,2
42.0,No,Travel_Rarely,1396.0,Research & Development,6.0,3,Medical,3,Male,83,3,3,Research Director,1,Married,13348,14842,9,No,13,3,2,1,18,3,4,13,7,5,7
20.0,Yes,Travel_Rarely,1097.0,Research & Development,11.0,3,Medical,4,Female,98,2,1,Research Scientist,1,Single,2600,18275,1,Yes,15,3,1,0,1,2,3,1,0,0,0
50.0,No,Travel_Rarely,316.0,Sales,8.0,4,Marketing,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,No,15,3,4,1,4,2,3,2,2,2,2
19.0,Yes,Travel_Rarely,303.0,Research & Development,2.0,3,Life Sciences,2,Male,47,2,1,Laboratory Technician,4,Single,1102,9241,1,No,22,4,3,0,1,3,2,1,0,1,0
31.0,No,Travel_Rarely,1154.0,Sales,2.0,2,Life Sciences,1,Male,54,3,1,Sales Representative,3,Married,3067,6393,1,No,19,3,3,1,3,1,3,2,2,1,2
29.0,No,Travel_Frequently,1404.0,Sales,20.0,3,Technical Degree,3,Female,84,3,1,Sales Representative,4,Married,2157,18203,1,No,15,3,2,1,3,5,3,3,1,0,2
42.0,No,Travel_Rarely,1142.0,Research & Development,8.0,3,Life Sciences,4,Male,81,3,1,Laboratory Technician,3,Single,3968,13624,4,No,13,3,4,0,8,3,3,0,0,0,0
36.0,No,Travel_Rarely,1266.0,Sales,10.0,4,Technical Degree,2,Female,63,2,2,Sales Executive,3,Married,5673,6060,1,Yes,13,3,1,1,10,4,3,10,9,1,7
42.0,Yes,Travel_Frequently,481.0,Sales,12.0,3,Life Sciences,3,Male,44,3,4,Sales Executive,1,Single,13758,2447,1,Yes,12,3,2,0,22,2,2,21,9,13,14
46.0,No,Travel_Rarely,1402.0,Sales,2.0,3,Marketing,3,Female,69,3,4,Manager,1,Married,17048,24097,8,No,23,4,1,0,28,2,3,26,15,15,9
39.0,No,Travel_Rarely,722.0,Sales,24.0,1,Marketing,2,Female,60,2,4,Sales Executive,4,Married,12031,8828,1,No,11,3,1,1,21,2,2,20,9,9,6
30.0,No,Travel_Rarely,1358.0,Research & Development,24.0,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0
36.0,No,Travel_Rarely,172.0,Research & Development,4.0,4,Life Sciences,1,Male,37,2,2,Laboratory Technician,4,Single,5810,22604,1,No,16,3,3,0,10,2,2,10,4,1,8
41.0,Yes,Travel_Rarely,1085.0,Research & Development,2.0,4,Life Sciences,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,4,Yes,13,3,3,1,10,1,2,7,7,1,0
22.0,No,Non-Travel,457.0,Research & Development,26.0,2,Other,2,Female,85,2,1,Research Scientist,3,Married,2814,10293,1,Yes,14,3,2,0,4,2,2,4,2,1,3
21.0,Yes,Travel_Frequently,756.0,Sales,1.0,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2
41.0,No,Travel_Rarely,509.0,Research & Development,7.0,2,Technical Degree,2,Female,43,4,1,Research Scientist,3,Married,3376,18863,1,No,13,3,3,0,10,3,3,10,6,0,8
36.0,No,Travel_Rarely,992.0,Research & Development,1.0,3,Medical,4,Male,68,2,1,Laboratory Technician,1,Single,2450,21731,1,No,19,3,2,0,3,3,3,3,0,1,2
47.0,No,Travel_Rarely,1482.0,Research & Development,7.0,5,Life Sciences,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,No,11,3,2,1,21,2,3,3,2,1,1
45.0,No,Travel_Rarely,802.0,Research & Development,20.0,3,Medical,2,Male,95,1,3,Healthcare Representative,1,Divorced,10851,19863,2,Yes,18,3,2,1,24,2,3,7,7,0,7
29.0,No,Travel_Frequently,995.0,Research & Development,2.0,1,Life Sciences,1,Male,87,3,2,Healthcare Representative,4,Divorced,8853,24483,1,No,19,3,4,1,6,0,4,6,4,1,3
36.0,No,Travel_Rarely,1167.0,Sales,7.0,3,Other,4,Female,30,2,1,Sales Representative,3,Single,2966,21378,1,No,18,3,4,0,5,2,3,4,2,0,0
51.0,No,Travel_Rarely,833.0,Research & Development,1.0,3,Life Sciences,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,1,No,11,3,2,0,1,0,2,1,0,0,0
34.0,No,Travel_Frequently,735.0,Research & Development,22.0,4,Other,3,Male,86,2,2,Research Scientist,4,Married,5747,26496,1,Yes,15,3,2,0,16,3,3,15,10,6,11
36.0,No,Travel_Rarely,755.0,Research & Development,9.0,4,Life Sciences,3,Male,97,2,2,Healthcare Representative,2,Single,6540,19394,9,No,19,3,3,0,10,5,3,1,1,0,0
40.0,Yes,Travel_Rarely,676.0,Research & Development,9.0,4,Life Sciences,4,Male,86,3,1,Laboratory Technician,1,Single,2018,21831,3,No,14,3,2,0,15,3,1,5,4,1,0
42.0,No,Travel_Frequently,458.0,Research & Development,26.0,5,Medical,1,Female,60,3,3,Research Director,1,Married,13191,23281,3,Yes,17,3,3,0,20,6,3,1,0,0,0
38.0,No,Travel_Rarely,364.0,Research & Development,7.0,5,Technical Degree,4,Female,32,3,2,Research Scientist,3,Single,4317,2302,3,Yes,20,4,2,0,19,2,3,3,2,2,2
24.0,Yes,Travel_Rarely,693.0,Sales,7.0,2,Life Sciences,1,Female,65,3,2,Sales Executive,3,Single,4577,24785,9,No,14,3,1,0,4,3,3,2,2,2,0
39.0,No,Travel_Rarely,1462.0,Sales,6.0,3,Medical,4,Male,38,4,3,Sales Executive,3,Married,8237,4658,2,No,11,3,1,1,11,3,3,7,6,7,6
40.0,No,Travel_Rarely,329.0,Research & Development,1.0,4,Life Sciences,2,Male,88,3,1,Laboratory Technician,2,Married,2387,6762,3,No,22,4,3,1,7,3,3,4,2,0,3
45.0,No,Travel_Rarely,538.0,Research & Development,1.0,4,Technical Degree,1,Male,66,3,3,Healthcare Representative,2,Divorced,7441,20933,1,No,12,3,1,3,10,4,3,10,8,7,7
40.0,No,Travel_Rarely,1194.0,Research & Development,2.0,4,Medical,3,Female,98,3,1,Research Scientist,3,Married,2001,12549,2,No,14,3,2,3,20,2,3,5,3,0,2
34.0,Yes,Travel_Frequently,988.0,Human Resources,23.0,3,Human Resources,2,Female,43,3,3,Human Resources,1,Divorced,9950,11533,9,Yes,15,3,3,3,11,2,3,3,2,0,2
32.0,No,Travel_Rarely,1018.0,Research & Development,7.0,2,Life Sciences,3,Female,39,3,3,Research Director,4,Single,11159,19373,3,No,15,3,4,0,10,6,3,7,7,7,7
50.0,No,Travel_Rarely,813.0,Research & Development,17.0,5,Life Sciences,4,Female,50,2,3,Research Director,1,Divorced,13269,21981,5,No,15,3,3,3,19,3,3,14,11,1,11
37.0,No,Travel_Frequently,319.0,Sales,4.0,4,Marketing,1,Male,41,3,1,Sales Representative,4,Divorced,2793,2539,4,No,17,3,3,1,13,2,3,9,8,5,8
29.0,Yes,Travel_Frequently,337.0,Research & Development,14.0,1,Other,3,Female,84,3,3,Healthcare Representative,4,Single,7553,22930,1,Yes,12,3,1,0,9,1,3,8,7,7,7
36.0,No,Travel_Frequently,944.0,Sales,1.0,3,Marketing,3,Female,92,3,3,Sales Executive,3,Single,8789,9096,1,No,14,3,1,0,10,3,4,10,7,0,8
31.0,No,Travel_Frequently,1125.0,Sales,7.0,4,Marketing,1,Female,68,3,3,Sales Executive,1,Married,9637,8277,2,No,14,3,4,2,9,3,3,3,2,2,2
38.0,No,Travel_Rarely,1153.0,Research & Development,6.0,2,Other,4,Female,40,2,1,Laboratory Technician,3,Married,3702,16376,1,No,11,3,2,1,5,3,3,5,4,0,4
27.0,No,Travel_Frequently,1242.0,Sales,20.0,3,Life Sciences,4,Female,90,3,2,Sales Executive,3,Single,9981,12916,1,No,14,3,4,0,7,2,3,7,7,0,7
46.0,No,Travel_Rarely,945.0,Human Resources,7.0,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2
41.0,No,Travel_Rarely,933.0,Research & Development,9.0,4,Life Sciences,3,Male,94,3,1,Laboratory Technician,1,Married,2238,6961,2,No,21,4,4,1,7,2,3,5,0,1,4
40.0,No,Travel_Rarely,1308.0,Research & Development,14.0,3,Medical,3,Male,44,2,5,Research Director,3,Single,19626,17544,1,No,14,3,1,0,21,2,4,20,7,4,9
30.0,No,Travel_Rarely,1329.0,Sales,29.0,4,Life Sciences,3,Male,61,3,2,Sales Executive,1,Divorced,4115,13192,8,No,19,3,3,3,8,3,3,4,3,0,3
30.0,No,Travel_Rarely,853.0,Research & Development,7.0,4,Life Sciences,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,No,13,3,1,3,10,4,2,10,7,8,9
34.0,No,Travel_Rarely,546.0,Research & Development,10.0,3,Life Sciences,2,Male,83,3,1,Laboratory Technician,2,Divorced,2008,6896,1,No,14,3,2,2,1,3,3,1,0,1,0
40.0,No,Travel_Rarely,118.0,Sales,14.0,2,Life Sciences,4,Female,84,3,2,Sales Executive,1,Married,4639,11262,1,No,15,3,3,1,5,2,3,5,4,1,2
29.0,No,Travel_Rarely,1090.0,Sales,10.0,3,Marketing,4,Male,83,3,1,Sales Representative,2,Divorced,2297,17967,1,No,14,3,4,2,2,2,3,2,2,2,2
46.0,No,Travel_Rarely,1450.0,Research & Development,15.0,2,Life Sciences,4,Male,52,3,5,Research Director,2,Married,19081,10849,5,No,11,3,1,1,25,2,3,4,2,0,3
41.0,No,Travel_Rarely,802.0,Sales,9.0,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,8189,21196,3,Yes,13,3,3,1,12,2,3,9,7,0,7
39.0,No,Non-Travel,1251.0,Sales,21.0,4,Life Sciences,1,Female,32,1,2,Sales Executive,3,Married,5736,3987,6,No,19,3,3,1,10,1,3,3,2,1,2
29.0,No,Travel_Frequently,490.0,Research & Development,10.0,3,Life Sciences,4,Female,61,3,1,Research Scientist,2,Divorced,3291,17940,1,No,14,3,4,2,8,2,2,7,5,1,1
52.0,No,Travel_Rarely,1490.0,Research & Development,4.0,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,16555,10310,2,No,13,3,4,0,31,2,1,5,2,1,4
37.0,No,Travel_Rarely,1439.0,Research & Development,4.0,1,Life Sciences,3,Male,54,3,1,Research Scientist,3,Married,2996,5182,7,Yes,15,3,4,0,8,2,3,6,4,1,3
29.0,No,Travel_Rarely,1176.0,Sales,7.0,2,Medical,2,Female,62,3,2,Sales Executive,3,Married,5561,3487,1,No,14,3,1,1,6,5,2,6,0,1,2
44.0,No,Travel_Rarely,528.0,Human Resources,1.0,3,Life Sciences,3,Female,44,3,1,Human Resources,4,Divorced,3195,4167,4,Yes,18,3,1,3,8,2,3,2,2,2,2
45.0,Yes,Travel_Frequently,306.0,Sales,26.0,4,Life Sciences,1,Female,100,3,2,Sales Executive,1,Married,4286,5630,2,No,14,3,4,2,5,4,3,1,1,0,0
36.0,No,Travel_Rarely,802.0,Sales,18.0,1,Life Sciences,1,Male,93,4,2,Sales Executive,3,Married,6232,12477,2,No,11,3,2,0,6,3,2,3,2,1,2
47.0,No,Travel_Frequently,1309.0,Sales,4.0,1,Medical,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,No,19,3,1,0,5,3,3,0,0,0,0
37.0,No,Travel_Rarely,1107.0,Research & Development,14.0,3,Life Sciences,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,No,12,3,3,1,18,2,2,18,7,12,17
41.0,Yes,Travel_Rarely,1102.0,Sales,1.0,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5
57.0,No,Travel_Rarely,593.0,Research & Development,1.0,4,Medical,4,Male,88,3,2,Healthcare Representative,3,Married,6755,2967,2,No,11,3,3,0,15,2,3,3,2,1,2
18.0,Yes,Non-Travel,247.0,Research & Development,8.0,1,Medical,3,Male,80,3,1,Laboratory Technician,3,Single,1904,13556,1,No,12,3,4,0,0,0,3,0,0,0,0
32.0,No,Non-Travel,1146.0,Research & Development,15.0,4,Medical,3,Female,34,3,2,Healthcare Representative,4,Divorced,6667,16542,5,No,18,3,2,1,9,6,3,5,1,1,2
36.0,No,Travel_Rarely,703.0,Sales,28.0,2,Marketing,1,Male,66,3,2,Sales Executive,2,Married,6272,7428,1,No,20,4,4,2,6,5,4,5,3,1,4
33.0,Yes,Travel_Rarely,211.0,Sales,16.0,3,Life Sciences,1,Female,74,3,3,Sales Executive,1,Single,8564,10092,2,Yes,20,4,3,0,11,2,2,0,0,0,0
36.0,No,Travel_Rarely,1142.0,Research & Development,23.0,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2
32.0,No,Non-Travel,300.0,Research & Development,1.0,3,Life Sciences,4,Male,61,3,1,Laboratory Technician,4,Divorced,2314,9148,1,No,12,3,2,1,4,2,3,3,0,0,2
36.0,Yes,Travel_Rarely,303.0,Sales,27.0,3,Life Sciences,3,Male,84,3,2,Sales Executive,4,Single,5813,13492,1,Yes,18,3,4,0,10,2,3,10,7,7,7
39.0,Yes,Non-Travel,592.0,Research & Development,2.0,3,Life Sciences,1,Female,54,2,1,Laboratory Technician,1,Single,3646,17181,2,Yes,23,4,2,0,11,2,4,1,0,0,0
58.0,Yes,Travel_Rarely,601.0,Research & Development,7.0,4,Medical,3,Female,53,2,3,Manufacturing Director,1,Married,10008,12023,7,Yes,14,3,4,0,31,0,2,10,9,5,9
36.0,No,Travel_Frequently,1480.0,Research & Development,7.0,2,Medical,4,Male,30,3,1,Laboratory Technician,2,Single,2088,15062,4,No,12,3,3,0,13,3,2,8,7,7,2
31.0,No,Travel_Rarely,828.0,Sales,2.0,1,Life Sciences,2,Male,77,3,2,Sales Executive,4,Single,6582,8346,4,Yes,13,3,3,0,10,2,4,6,5,0,5
36.0,No,Travel_Rarely,841.0,Research & Development,6.0,3,Other,3,Female,46,2,1,Research Scientist,2,Married,2368,23300,1,No,19,3,3,0,5,3,2,5,4,4,3
39.0,Yes,Travel_Rarely,360.0,Research & Development,23.0,3,Medical,3,Male,93,3,1,Research Scientist,1,Single,3904,22154,1,No,13,3,1,0,6,2,3,5,2,0,3
27.0,No,Travel_Rarely,608.0,Research & Development,1.0,2,Life Sciences,3,Female,68,3,3,Manufacturing Director,1,Married,7412,6009,1,No,11,3,4,0,9,3,3,9,7,0,7
44.0,Yes,Travel_Rarely,1097.0,Research & Development,10.0,4,Life Sciences,3,Male,96,3,1,Research Scientist,3,Single,2936,10826,1,Yes,11,3,3,0,6,4,3,6,4,0,2
45.0,No,Travel_Rarely,974.0,Research & Development,1.0,4,Medical,4,Female,91,3,1,Laboratory Technician,4,Divorced,2270,11005,3,No,14,3,4,2,8,2,3,5,3,0,2
40.0,No,Travel_Frequently,530.0,Research & Development,1.0,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11
47.0,No,Non-Travel,1162.0,Research & Development,1.0,1,Medical,3,Female,98,3,3,Research Director,2,Married,11957,17231,1,No,18,3,1,2,14,3,1,13,8,5,12
34.0,No,Travel_Rarely,629.0,Research & Development,27.0,2,Medical,4,Female,95,3,1,Research Scientist,2,Single,2311,5711,2,No,15,3,4,0,9,3,3,3,2,1,2
44.0,No,Travel_Rarely,200.0,Research & Development,29.0,4,Other,4,Male,32,3,2,Research Scientist,4,Single,4541,7744,1,No,25,4,2,0,20,3,3,20,11,13,17
36.0,No,Travel_Frequently,607.0,Sales,7.0,3,Marketing,1,Female,83,4,2,Sales Executive,1,Married,4639,2261,2,No,16,3,4,1,17,2,2,15,7,6,13
27.0,No,Non-Travel,1277.0,Research & Development,8.0,5,Life Sciences,1,Male,87,1,1,Laboratory Technician,3,Married,4621,5869,1,No,19,3,4,3,3,4,3,3,2,1,2
24.0,Yes,Travel_Rarely,1448.0,Sales,1.0,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4
39.0,No,Travel_Frequently,505.0,Research & Development,2.0,4,Technical Degree,3,Female,64,3,3,Healthcare Representative,3,Single,10938,6420,1,No,25,4,4,0,20,1,3,19,6,11,8
36.0,Yes,Travel_Rarely,318.0,Research & Development,9.0,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,1,Yes,17,3,1,1,2,0,2,1,0,0,0
34.0,No,Non-Travel,697.0,Research & Development,7.0,4,Life Sciences,3,Male,40,2,1,Research Scientist,4,Married,2979,22478,3,No,17,3,4,3,6,2,3,0,0,0,0
50.0,No,Travel_Frequently,809.0,Sales,12.0,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,9208,6645,4,No,11,3,4,0,16,3,3,2,2,2,1
41.0,No,Travel_Rarely,334.0,Sales,2.0,4,Life Sciences,4,Male,88,3,4,Manager,2,Single,16015,15896,1,No,19,3,2,0,22,2,3,22,10,0,4
31.0,Yes,Travel_Rarely,330.0,Research & Development,22.0,4,Medical,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Yes,15,3,4,2,10,3,2,10,2,6,7
39.0,No,Travel_Frequently,672.0,Research & Development,7.0,2,Medical,3,Male,54,2,5,Manager,4,Married,19272,21141,1,No,15,3,1,1,21,2,3,21,9,13,3
44.0,No,Travel_Rarely,1037.0,Research & Development,1.0,3,Medical,2,Male,42,3,1,Research Scientist,4,Single,2436,13422,6,Yes,12,3,3,0,6,2,3,4,3,1,2
33.0,No,Travel_Rarely,575.0,Research & Development,25.0,3,Life Sciences,4,Male,44,2,2,Manufacturing Director,2,Single,4320,24152,1,No,13,3,4,0,5,2,3,5,3,0,2
33.0,No,Travel_Rarely,1216.0,Sales,8.0,4,Marketing,3,Male,39,3,2,Sales Executive,3,Divorced,7104,20431,1,No,12,3,4,0,6,3,3,5,0,1,2
36.0,No,Travel_Rarely,1382.0,Sales,8.0,2,Other,1,Female,85,3,2,Sales Executive,3,Divorced,4907,13684,1,Yes,22,4,2,1,6,3,2,5,3,0,4
37.0,No,Travel_Rarely,367.0,Research & Development,25.0,2,Medical,3,Female,52,2,2,Healthcare Representative,4,Divorced,5731,17171,7,No,13,3,3,2,9,2,3,6,2,1,3
37.0,No,Travel_Rarely,921.0,Research & Development,10.0,3,Medical,3,Female,98,3,1,Laboratory Technician,1,Married,3452,17663,6,No,20,4,2,1,17,3,3,5,4,0,3
27.0,Yes,Travel_Rarely,1420.0,Sales,2.0,1,Marketing,3,Male,85,3,1,Sales Representative,1,Divorced,3041,16346,1,No,11,3,2,1,5,3,3,4,3,0,2
36.0,No,Travel_Rarely,977.0,Research & Development,2.0,1,Other,4,Male,57,3,1,Laboratory Technician,3,Divorced,3977,7298,6,Yes,19,3,3,1,7,2,2,2,2,0,2
30.0,No,Travel_Rarely,570.0,Sales,7.0,3,Marketing,4,Female,30,2,2,Sales Executive,3,Divorced,6118,5431,1,No,13,3,3,3,10,2,3,10,9,1,2
29.0,Yes,Travel_Rarely,408.0,Research & Development,25.0,5,Technical Degree,3,Female,71,2,1,Research Scientist,2,Married,2546,18300,5,No,16,3,2,0,6,2,4,2,2,1,1
27.0,No,Non-Travel,1450.0,Research & Development,7.0,3,Medical,3,Male,79,2,1,Research Scientist,3,Divorced,2566,25326,1,Yes,15,3,4,1,1,2,2,1,1,0,1
